movie_id,image_seq,angry,disgust,fear,happy,sad,surprise,neutral,dominant_emotion,elapsed_time,gaze,blink,eye_offset
baa26895-85b2-465b-a972-649b41d9870e,44,1.27609,0.174575,1.86466,82.8163,13.4717,0.0574277,0.339217,happy,45,1,0,21.5466
baa26895-85b2-465b-a972-649b41d9870e,45,0.0555553,3.16E-10,0.00100326,0.132832,0.173551,4.56E-05,99.637,neutral,46,0,0,25.3973
baa26895-85b2-465b-a972-649b41d9870e,46,2.00408,0.0059685,1.50677,75.756,20.7102,0.000583974,0.0163629,happy,47,0,0,34.5336
baa26895-85b2-465b-a972-649b41d9870e,47,21.9535,5.86282,49.1524,5.6173,2.40889,14.3839,0.621159,fear,48,1,0,14.651
baa26895-85b2-465b-a972-649b41d9870e,48,1.70051,0.0984637,2.19123,77.1555,12.5485,0.0977515,6.20808,happy,49,1,0,18.0207
baa26895-85b2-465b-a972-649b41d9870e,49,0.0523355,0.00441377,1.96755,91.2558,6.37031,0.0459671,0.303619,happy,50,1,0,6.7959
baa26895-85b2-465b-a972-649b41d9870e,50,0.965159,0.000576193,0.407235,90.6931,7.88406,0.000579749,0.049251,happy,51,0,0,38.5531
baa26895-85b2-465b-a972-649b41d9870e,51,3.29555,9.66E-07,0.171498,0.796679,0.199811,0.0753868,95.4611,neutral,52,1,0,10.0462
baa26895-85b2-465b-a972-649b41d9870e,52,5.11008,1.31552,17.2487,6.79369,68.8262,0.19091,0.514893,sad,53,0,0,59.0668
baa26895-85b2-465b-a972-649b41d9870e,53,3.16356,2.84E-05,3.02221,5.9099,5.33839,5.66719,76.8987,neutral,54,0,0,38.2424
baa26895-85b2-465b-a972-649b41d9870e,54,80.181,12.7001,4.38681,0.328241,0.590712,1.62956,0.183659,angry,55,1,0,11.3185
baa26895-85b2-465b-a972-649b41d9870e,55,8.54E-05,5.90E-07,0.00250043,99.1543,0.791377,0.000134473,0.0516179,happy,56,1,0,19.5505
baa26895-85b2-465b-a972-649b41d9870e,56,4.5432,1.40E-07,0.00864378,9.01946,4.94431,0.0395474,81.4448,neutral,57,1,0,10.4265
baa26895-85b2-465b-a972-649b41d9870e,57,89.7201,0.092185,6.60008,3.27745,0.240203,0.0655446,0.00448975,angry,58,0,0,33.5754
baa26895-85b2-465b-a972-649b41d9870e,58,3.55755,0.00787249,6.38045,50.1082,37.4685,0.10471,2.37271,happy,59,1,0,15.6083
baa26895-85b2-465b-a972-649b41d9870e,59,0.784562,0.182907,1.84928,86.4641,9.86777,0.0231287,0.82828,happy,60,0,0,29.9409
baa26895-85b2-465b-a972-649b41d9870e,60,0.198426,9.57E-07,0.042661,0.12724,0.111731,0.0419823,99.478,neutral,61,1,0,14.4618
baa26895-85b2-465b-a972-649b41d9870e,61,22.8949,0.00248488,0.952057,12.109,63.6273,0.0259276,0.388269,sad,62,1,0,11.3027
baa26895-85b2-465b-a972-649b41d9870e,62,0.129206,0.000835554,0.958528,96.7538,2.12471,0.00708081,0.0258035,happy,63,1,0,21.1807
baa26895-85b2-465b-a972-649b41d9870e,63,0.0864644,1.49E-08,0.0680381,0.0114976,0.95284,0.00529167,98.8759,neutral,64,0,0,33.0236
baa26895-85b2-465b-a972-649b41d9870e,64,1.60215,2.53424,1.07846,30.9223,63.7754,0.0196229,0.0678507,sad,65,1,0,8.2901
baa26895-85b2-465b-a972-649b41d9870e,65,0.939335,0.699702,44.2257,26.2865,27.3592,0.14424,0.345237,fear,66,0,0,26.5967
baa26895-85b2-465b-a972-649b41d9870e,66,6.93374,0.0279107,5.18356,25.7628,59.2853,0.175444,2.63121,sad,68,1,0,12.4572
